Measurement results;;;;;;;;;;;;
testSciensano.skax;;;;;;;;;;;;
31-May-22 3:27:21 PM;;;;;;;;;;;;
 ;;;;;;;;;;;;
RLU results;;;;;;;;;;;;
Wavelength: 0 nm;;;;;;;;;;;;
 ;;;;;;;;;;;;
Plate 1;;;;;;;;;;;;
 ;;;;;;;;;;;;
RLU;1;2;3;4;5;6;7;8;9;10;11;12
A;0,0007080;0,002409;0,03916;0,1275;0,1090;0,5131;0,1618;0,4103;0,5429;0,5350;0,0000;0,2712
B;0,0007320;0,009982;0,03356;0,1167;0,1177;0,2101;0,3088;0,4951;0,3037;0,6225;0,0000;0,8913
C;0,000099;0,0002400;0,004513;0,01776;0,1175;0,1466;0,1663;0,8932;0,6317;0,4077;0,0000;0,1812
D;0,000046;-0,0002860;0,001130;0,002019;0,2625;0,1031;0,3934;0,4419;0,08782;0,3438;0,0000;0,7149
E;;;;;;;;;;;0,0000;0,2000000
F;10,58;10,03;;;2,839;3,491;;;;;;
G;;;;;;;;;;;;
H;;;;;6,375;10,18;;;;;;
;;;;;;;;;;;;
Sample;1;2;3;4;5;6;7;8;9;10;11;12
A;Un0001;Un0002;Un0003;Un0004;Un0005;Un0006;Un0007;Un0008;Un0009;Un0010;;Ctrlpos0001
B;Un0001;Un0002;Un0003;Un0004;Un0005;Un0006;Un0007;Un0008;Un0009;Un0010;;Ctrlpos0001
C;Un0011;Un0012;Un0013;Un0014;Un0015;Un0016;Un0017;Un0018;Un0019;Un0020;;Ctrlpos0001
D;Un0011;Un0012;Un0013;Un0014;Un0015;Un0016;Un0017;Un0018;Un0019;Un0020;;Ctrlpos0001
E;;;;;;;;;;;;Ctrlpos0001
F;Un0021;Un0021;;;Un0022;Un0022;;;;;;
G;;;;;;;;;;;;
H;;;;;Un0023;Un0023;;;;;;
;;;;;;;;;;;;
Autoloading range A1 - M28;;;;;;;;;;;;
